epoch,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B)
1,3.689894,5.487517,3.227332,4.289482,0.078437,0.081763,0.097758,0.043154
2,3.742271,5.515430,3.276660,4.117990,0.083732,0.093415,0.080922,0.037380
3,3.632888,5.571199,3.281288,4.190124,0.142400,0.132616,0.085753,0.034919
4,3.623800,5.388946,3.425348,4.023082,0.104799,0.083693,0.089342,0.077071
5,3.782156,5.234163,3.297318,4.193446,0.123903,0.138240,0.108992,0.066811
6,3.713134,5.276344,3.127556,4.147712,0.096012,0.102997,0.101478,0.081025
7,3.413833,5.107210,3.236642,4.053485,0.099899,0.139535,0.121919,0.089654
8,3.591889,5.036154,3.056943,3.995652,0.140901,0.088574,0.075421,0.083629
9,3.555595,4.933974,3.227318,4.095293,0.096134,0.132210,0.109219,0.094010
10,3.394476,5.001465,3.105429,3.879331,0.123769,0.118478,0.119247,0.082902
11,3.439515,4.828418,3.090517,3.792714,0.131431,0.117031,0.128498,0.076634
12,3.435040,4.892646,3.107176,3.819081,0.136221,0.134183,0.130944,0.097332
13,3.295776,4.788345,3.003172,3.846122,0.138173,0.144696,0.143199,0.086964
14,3.271525,4.641339,2.974564,3.684126,0.147155,0.134149,0.131600,0.087070
15,3.316866,4.678261,2.973962,3.672747,0.154020,0.133309,0.147480,0.096079
16,3.255336,4.504064,2.997912,3.666799,0.158952,0.149066,0.155115,0.093219
17,3.235229,4.590133,2.896766,3.611364,0.149894,0.153706,0.167571,0.100273
18,3.195862,4.553512,2.833259,3.538043,0.160323,0.163505,0.158315,0.109527
19,3.167303,4.430616,2.880853,3.586457,0.177081,0.171536,0.168036,0.112796
20,3.068418,4.417979,2.887389,3.599057,0.179717,0.168394,0.160260,0.106135
21,3.133531,4.461656,2.883575,3.479196,0.166726,0.188751,0.161836,0.112797
22,3.108939,4.291378,2.810680,3.400699,0.185781,0.180849,0.186472,0.128748
23,3.023849,4.217001,2.789513,3.340826,0.172516,0.181541,0.186697,0.127652
24,3.002503,4.297867,2.814026,3.379432,0.194201,0.176787,0.199239,0.143883
25,2.914558,4.276302,2.701137,3.379999,0.214605,0.193055,0.189476,0.140399
26,2.968271,4.133291,2.723659,3.321978,0.197548,0.198052,0.206495,0.143861
27,2.942818,4.139149,2.719373,3.270395,0.204276,0.214121,0.220359,0.127425
28,2.890014,4.111652,2.705742,3.214827,0.222994,0.215942,0.217544,0.148534
29,2.910369,3.963980,2.655831,3.163001,0.210580,0.208719,0.222675,0.145965
30,2.825248,3.933884,2.651271,3.208746,0.224012,0.225552,0.227165,0.146021
31,2.834731,3.977250,2.554949,3.180949,0.240105,0.235671,0.223894,0.155884
32,2.745211,3.958021,2.589458,3.051980,0.236625,0.248754,0.247765,0.166282
33,2.759219,3.860478,2.602662,3.147178,0.246285,0.249964,0.242384,0.166978
34,2.727659,3.747402,2.539679,3.076684,0.260704,0.255388,0.255597,0.160263
35,2.718421,3.850292,2.551246,3.080198,0.264803,0.256319,0.249815,0.177617
36,2.669705,3.684419,2.543445,2.941374,0.270346,0.265581,0.258840,0.171030
37,2.654601,3.654717,2.500558,2.911618,0.272379,0.279204,0.281349,0.182382
38,2.668570,3.649567,2.496972,2.931829,0.285030,0.265374,0.277572,0.182804
39,2.594016,3.671601,2.444227,2.929774,0.288151,0.280161,0.295387,0.188123
40,2.523468,3.598494,2.448384,2.953729,0.299967,0.283786,0.293300,0.200708
41,2.634243,3.538895,2.454584,2.882660,0.299581,0.300097,0.289908,0.191019
42,2.596326,3.504122,2.422900,2.817580,0.309435,0.314087,0.313587,0.219722
43,2.466462,3.446383,2.382724,2.759426,0.310397,0.306732,0.312054,0.194465
44,2.523099,3.435802,2.389389,2.823194,0.325538,0.299726,0.327222,0.209178
45,2.453020,3.245538,2.386654,2.709235,0.326907,0.322966,0.330694,0.221897
46,2.461574,3.321735,2.286478,2.787104,0.332133,0.341058,0.328868,0.228634
47,2.440963,3.313603,2.365716,2.685040,0.350833,0.345605,0.346766,0.228224
48,2.398237,3.209376,2.304026,2.734793,0.358250,0.352346,0.366674,0.233680
49,2.354939,3.252045,2.310249,2.673383,0.370655,0.354358,0.364232,0.242575
50,2.337599,3.188716,2.316970,2.616099,0.368845,0.354098,0.368763,0.242631
51,2.307756,3.253327,2.223668,2.576451,0.383512,0.376236,0.383446,0.260848
52,2.290561,3.211215,2.227493,2.559528,0.392655,0.373270,0.386191,0.261672
53,2.300823,3.076679,2.224270,2.566522,0.399852,0.405289,0.394160,0.267222
54,2.254799,3.060222,2.193753,2.528984,0.397772,0.400291,0.394367,0.257819
55,2.290869,3.032244,2.253839,2.478935,0.413689,0.399026,0.410368,0.270243
56,2.303472,2.981917,2.160799,2.473127,0.423554,0.406752,0.423254,0.273825
57,2.201409,2.983184,2.154728,2.460235,0.428869,0.418895,0.420126,0.273549
58,2.215047,2.904822,2.162599,2.349552,0.420310,0.425738,0.441809,0.289853
59,2.206546,2.855874,2.105654,2.430905,0.446490,0.444617,0.440846,0.288058
60,2.186752,2.913572,2.115275,2.351530,0.471119,0.445212,0.444213,0.302997
61,2.152447,2.884302,2.122270,2.322986,0.458757,0.445909,0.463673,0.294588
62,2.160873,2.783351,2.088533,2.280285,0.464029,0.474927,0.464113,0.322298
63,2.132430,2.839426,2.081660,2.254936,0.481052,0.468233,0.478532,0.306767
64,2.045823,2.734515,2.054691,2.251639,0.488764,0.482014,0.480354,0.321077
65,2.112497,2.750529,2.011413,2.256910,0.503991,0.479007,0.489860,0.331032
66,2.095835,2.751001,2.052934,2.343060,0.492550,0.494767,0.501274,0.325493
67,2.012631,2.680749,2.082535,2.223796,0.516602,0.502314,0.508126,0.342222
68,2.027704,2.677941,2.017200,2.232083,0.523581,0.492642,0.502445,0.330892
69,2.036746,2.602482,2.010325,2.221370,0.525793,0.531781,0.515694,0.357644
70,1.984467,2.591900,2.011424,2.191206,0.537671,0.533844,0.535961,0.351414
71,2.019383,2.565168,1.939791,2.163709,0.551185,0.528158,0.537511,0.351775
72,2.054838,2.512182,2.016328,2.100067,0.557867,0.530286,0.543032,0.359366
73,1.912857,2.515033,1.958854,2.187214,0.549629,0.549601,0.545841,0.373409
74,1.873258,2.421106,1.989421,2.182986,0.573162,0.555175,0.555275,0.367403
75,1.925044,2.448948,1.906302,2.025133,0.573850,0.564927,0.557322,0.371183
76,1.926332,2.434528,1.970807,2.033437,0.582651,0.571150,0.576480,0.380463
77,1.872997,2.411525,1.927636,2.045380,0.590285,0.581135,0.581063,0.377831
78,1.925306,2.388112,1.909231,2.000378,0.596056,0.596061,0.586348,0.406774
79,1.798754,2.373240,1.888059,2.041795,0.614273,0.596349,0.599157,0.392592
80,1.865316,2.376726,1.862118,1.975231,0.611472,0.590651,0.609088,0.408637
81,1.798841,2.373187,1.894264,2.073974,0.610505,0.617111,0.626720,0.408466
82,1.877500,2.273957,1.851267,2.018206,0.623547,0.626415,0.612262,0.403665
83,1.874246,2.223545,1.776986,1.962499,0.635269,0.645498,0.635373,0.416185
84,1.749869,2.209133,1.791556,1.978687,0.650727,0.618197,0.641249,0.427137
85,1.744710,2.214674,1.808700,1.965649,0.652678,0.635939,0.637636,0.423929
86,1.787397,2.199502,1.812908,1.882855,0.647913,0.624056,0.650335,0.439488
87,1.724014,2.156923,1.791371,1.856954,0.681365,0.651759,0.653078,0.442558
88,1.724329,2.109201,1.819223,1.877107,0.670268,0.649472,0.663547,0.446115
